,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,cleaned_tweets,Polarity,Sentiment
0,1463786969826140160,1463786969826140160,1637828984000.0,2021-11-25 03:29:44,-0500,,#BombayHC commutes to life term death penalty awarded to three in 2013 #ShaktiMills #gangrapecase #VijayJadhav #MohammadQasimShaikh #MohammadAnsari #lifeimprisonment #Mumbai #deathpenalty   https://t.co/zz2IPaBErl,en,"['bombayhc', 'shaktimills', 'gangrapecase', 'vijayjadhav', 'mohammadqasimshaikh', 'mohammadansari', 'lifeimprisonment', 'mumbai', 'deathpenalty']",[],1168043884246515712,1168043884246515712,the_news_21,TheNews21,4,03,https://twitter.com/the_news_21/status/1463786969826140160,['https://bit.ly/3cKer7h'],[],0,,False,0,0,0,,None,,,,,,,[],,,,,bombayhc commutes to life term death penalty awarded to three in 2013 shaktimills gangrapecase vijayjadhav mohammadqasimshaikh mohammadansari lifeimprisonment mumbai deathpenalty ,0.0,neutral
1,1463779498571317252,1463779498571317252,1637827202000.0,2021-11-25 03:00:02,-0500,,EARLY DEATH. Iranian #ArmanAbdolali is the second juvenile offender to be executed this year. His case follows the pattern of child offenders convicted after a flawed trial and on the basis of forced confessions. #deathpenalty #HumanRights @UNHumanRights  https://t.co/DZw342YyW5  https://t.co/hdKfxzDJj9,en,"['armanabdolali', 'deathpenalty', 'humanrights']",[],1182344924391514112,1182344924391514112,RightsCorridor,Rights Corridor,4,03,https://twitter.com/RightsCorridor/status/1463779498571317252,['https://rightscorridor.com/execution-of-juvenile-offender-in-iran-deeply-alarming-and-shocking-un/'],['https://pbs.twimg.com/media/FFBbLGiXsAQrFVq.jpg'],1,https://pbs.twimg.com/media/FFBbLGiXsAQrFVq.jpg,False,0,0,0,,None,,,,,,,[],,,,,early death iranian armanabdolali is the second juvenile offender to be executed this year his case follows the pattern of child offenders convicted after a flawed trial and on the basis of forced confessions deathpenalty humanrights ,-0.19,negative
2,1463775731343933443,1463775731343933443,1637826304000.0,2021-11-25 02:45:04,-0500,,"Sorrow&amp;disappointment at the news that, in spite of numerous pleas, #ArmanAbdolali has been executed in #Iran for an alleged crime committed when he was a minor &amp; to which he confessed under torture. #DeathPenalty must be abolished as a cruel, inhuman &amp; degrading punishment.",en,"['armanabdolali', 'iran', 'deathpenalty']",[],1443128770211221506,1443128770211221506,LtAmbHumR,Andrius Krivas,4,02,https://twitter.com/LtAmbHumR/status/1463775731343933443,[],[],0,,False,12,0,9,https://twitter.com/LtAmbHumR/status/1450424118617198598,None,,,,,,,[],,,,,sorrowampdisappointment at the news that in spite of numerous pleas armanabdolali has been executed in iran for an alleged crime committed when he was a minor amp to which he confessed under torture deathpenalty must be abolished as a cruel inhuman amp degrading punishment,-0.2875,negative
3,1463769616619085827,1463769616619085827,1637824846000.0,2021-11-25 02:20:46,-0500,,"The youths need to realise that the #DeathPenalty for #corruption is the only way out of the mess our country is in. Forget NUP, NRM, Bobi Wine, Museveni, etc. Let's advocate for the death Penalty for corruption. It won't matter who is in power. Order shall be restored.👌🏽",en,"['deathpenalty', 'corruption']",[],1019910990429851648,1019910990429851648,SonOfTheLand01,Son of Africa 🇺🇬🇺🇲,4,02,https://twitter.com/SonOfTheLand01/status/1463769616619085827,[],[],0,,False,5,0,1,,None,,,,,,,[],,,,,the youths need to realise that the deathpenalty for corruption is the only way out of the mess our country is in forget nup nrm bobi wine museveni etc lets advocate for the death penalty for corruption it wont matter who is in power order shall be restored👌🏽,-0.0875,neutral
4,1463760797792755712,1463760797792755712,1637822744000.0,2021-11-25 01:45:44,-0500,,#BombayHighCourt set aside the #deathpenalty awarded to 3convicts in the #ShaktiMillsRapeCase observing that constitutional courts should follow procedure &amp; not award capital punishments based on #PublicOpinion.   https://t.co/xDCqV42N15,en,"['bombayhighcourt', 'deathpenalty', 'shaktimillsrapecase', 'publicopinion']",[],138507317,138507317,riotsjain,Ritika Jain,4,01,https://twitter.com/riotsjain/status/1463760797792755712,['https://www.boomlive.in/law/bombay-high-court-shakti-mills-rape-case-death-penalty-15734'],[],0,,False,1,0,0,,None,,,,,,,[],,,,,bombayhighcourt set aside the deathpenalty awarded to 3convicts in the shaktimillsrapecase observing that constitutional courts should follow procedure amp not award capital punishments based on publicopinion ,0.0,neutral
5,1463760699348242432,1463760699348242432,1637822720000.0,2021-11-25 01:45:20,-0500,,#BombayHighCourt set aside the #deathpenalty awarded to 3 convicts in the #ShaktiMillsRapeCase observing that constitutional courts should not award capital punishments based on public opinion.   https://t.co/6e4ROAPsny,en,"['bombayhighcourt', 'deathpenalty', 'shaktimillsrapecase']",[],2392031700,2392031700,boomlive_in,BOOM Live,4,01,https://twitter.com/boomlive_in/status/1463760699348242432,['https://www.boomlive.in/law/bombay-high-court-shakti-mills-rape-case-death-penalty-15734'],[],0,,False,3,0,1,,None,,,,,,,[],,,,,bombayhighcourt set aside the deathpenalty awarded to 3 convicts in the shaktimillsrapecase observing that constitutional courts should not award capital punishments based on public opinion ,0.0,neutral
6,1463748709565353988,1463748709565353988,1637819862000.0,2021-11-25 00:57:42,-0500,,"2013 #ShaktiMills gang-rape case | #BombayHighCourt sets aside the sentence of #deathpenalty of three accused, sends them to life imprisonment  #TheRealTalk (ANI)  https://t.co/huBO788JmJ",en,"['shaktimills', 'bombayhighcourt', 'deathpenalty', 'therealtalk']",[],1356506763999076356,1356506763999076356,Therealtalk_in,Tʜᴇ Rᴇᴀʟ Tᴀʟᴋ,4,00,https://twitter.com/Therealtalk_in/status/1463748709565353988,[],['https://pbs.twimg.com/media/FFBHsJ2UYAQRPIe.jpg'],1,https://pbs.twimg.com/media/FFBHsJ2UYAQRPIe.jpg,False,2,0,4,,None,,,,,,,[],,,,,2013 shaktimills gangrape case  bombayhighcourt sets aside the sentence of deathpenalty of three accused sends them to life imprisonment therealtalk ani ,0.0,neutral
7,1463741385408847875,1463741385408847875,1637818115000.0,2021-11-25 00:28:35,-0500,,This article critiques the introduction of the #deathpenalty for child rape in India as the move could expose victims to mortal danger.  #JGU #ChildProtection #POCSO #SexualHarassment #ChildHarassment #StopAbuse   https://t.co/VxWQhsAwRh,en,"['deathpenalty', 'jgu', 'childprotection', 'pocso', 'sexualharassment', 'childharassment', 'stopabuse']",[],1432227467788374017,1432227467788374017,jgu_research,JGU Research,4,00,https://twitter.com/jgu_research/status/1463741385408847875,['https://research.jgu.edu.in/reforms-to-the-legal-framework-of-child-sexual-abuse-in-india-legislative-band-aids-on-systemic-wounds/'],[],0,,False,0,0,0,,None,,,,,,,[],,,,,this article critiques the introduction of the deathpenalty for child rape in india as the move could expose victims to mortal danger jgu childprotection pocso sexualharassment childharassment stopabuse ,0.0,neutral
8,1463698526865698816,1463698526865698816,1637807897000.0,2021-11-24 21:38:17,-0500,,What an ugly legacy for the USA. Time to step into the year of 2021-22 &amp; stop being the ONLY free civilized still murdering it's own citizens &amp; calling it justice. Justice for who? #Notinmyname #DeathPenalty #EndtheDeathPenalty #Stopexecutions #HumanRights,en,"['notinmyname', 'deathpenalty', 'endthedeathpenalty', 'stopexecutions', 'humanrights']",[],1447048938687762434,1447048938687762434,icelady1392us11,icelady1392us1392,3,21,https://twitter.com/icelady1392us11/status/1463698526865698816,[],[],0,,False,1,0,1,https://twitter.com/GeorgeTrudel3/status/1463494525356232705,None,,,,,,,[],,,,,what an ugly legacy for the usa time to step into the year of 202122 amp stop being the only free civilized still murdering its own citizens amp calling it justice justice for who notinmyname deathpenalty endthedeathpenalty stopexecutions humanrights,0.14,positive
9,1463696143490166784,1463696143490166784,1637807329000.0,2021-11-24 21:28:49,-0500,,"It's true, the USA murders people to teach people it's wrong to murder people.  No wonder this nations such a hot mess.  Does that even begin to make sense? They also spend more $ building new prisons than on schools. Splains a lot, huh?  #DeathPenalty #NotinMyName",en,"['deathpenalty', 'notinmyname']",[],1447048938687762434,1447048938687762434,icelady1392us11,icelady1392us1392,3,21,https://twitter.com/icelady1392us11/status/1463696143490166784,[],[],0,,False,0,0,0,https://twitter.com/WhurDeyDoDatAt/status/1463689722266587137,None,,,,,,,[],,,,,its true the usa murders people to teach people its wrong to murder people no wonder this nations such a hot mess does that even begin to make sense they also spend more  building new prisons than on schools splains a lot huh deathpenalty notinmyname,0.08019480519480518,neutral
